Xd;Yd;Xu;Yu
308.8131;391.9595;21.0000;35.0000
337.2825;390.3134;22.0000;35.0000
365.6260;388.8247;23.0000;35.0000
394.3614;387.3191;24.0000;35.0000
423.4229;385.8560;25.0000;35.0000
451.9167;384.5465;26.0000;35.0000
481.3754;383.1038;27.0000;35.0000
510.0541;381.5995;28.0000;35.0000
539.4755;380.1658;29.0000;35.0000
568.9398;378.9036;30.0000;35.0000
597.8964;377.7867;31.0000;35.0000
627.5249;376.7809;32.0000;35.0000
657.3301;375.7328;33.0000;35.0000
686.8085;374.6074;34.0000;35.0000
716.3138;373.5369;35.0000;35.0000
746.0514;372.4456;36.0000;35.0000
775.8554;371.3990;37.0000;35.0000
805.7550;370.3627;38.0000;35.0000
